AccelerationX;AccelerationY;AccelerationZ
-0.906738;-0.097168;0.395020
-0.826660;-0.179687;0.395508
-0.852051;-0.187012;0.443359
-0.879883;-0.056641;0.364746
-0.775391;-0.152832;0.597168
-0.808105;-0.055664;0.453125
-0.756836;-0.055664;0.482910
-0.786621;-0.085449;0.680664
-0.775879;-0.151855;0.573730
-0.630371;-0.191895;0.601562
-0.623535;-0.217285;0.661133
-0.563965;-0.233887;0.679199
-0.539062;-0.151367;0.762207
-0.532227;-0.141113;0.797852
-0.530762;-0.093750;0.814453
-0.412598;-0.008301;0.900391
-0.376465;-0.124023;0.912109
-0.364746;-0.113281;0.916504
-0.255859;-0.161621;0.896973
-0.164062;-0.248535;0.944336
-0.053223;-0.299805;0.966309
-0.048828;-0.376953;0.848633
0.054199;-0.260742;0.949219
0.125977;-0.314453;0.974121
0.119629;-0.364258;0.984375
0.222168;-0.345215;1.001465
0.243652;-0.301270;0.876465
0.270020;-0.168457;0.979980
0.253906;-0.383301;0.894043
0.212891;-0.449707;0.876465
0.253418;-0.577637;0.955078
0.179199;-0.671875;0.831543
0.138184;-0.595703;0.738281
0.097656;-0.628418;0.745117
-0.069336;-0.526367;0.735840
-0.152344;-0.545898;0.807129
-0.019043;-0.682617;0.786133
0.080078;-0.656250;0.776367
0.091309;-0.616211;0.800781
0.106445;-0.609375;0.721680
0.071777;-0.555664;0.853027
0.056641;-0.492187;0.766602
-0.031738;-0.544922;0.898437
-0.017090;-0.520996;0.916992
-0.010254;-0.607422;0.790527
0.028320;-0.568848;0.831543
0.176270;-0.539062;0.750977
0.250977;-0.717773;0.796875
0.179687;-0.713867;0.724609
0.223633;-0.725098;0.697754
0.219238;-0.807129;0.688477
0.252441;-0.894043;0.393555
0.311035;-1.039551;0.273926
0.268066;-1.039063;0.233398
0.235840;-0.829102;0.338379
0.477051;-0.652344;0.064941
0.097656;-0.640137;0.128906
0.016602;-0.868164;0.255859
-0.013672;-1.099609;0.791504
-0.003418;-1.096680;0.801758
-0.171387;-0.986328;0.616211
0.142578;-0.999023;0.164551
0.044434;-0.931641;0.332520
-0.121094;-0.805664;0.575684
0.039551;-0.810547;0.505859
0.237305;-0.951660;0.238770
0.182129;-0.947754;0.188965
0.257324;-0.889160;0.224121
0.366211;-0.883789;0.292480
0.392090;-0.917480;0.121582
0.348633;-0.937988;-0.020020
0.504883;-1.019531;0.023926
0.550293;-0.908203;-0.021973
0.568359;-0.980957;-0.120605
0.585937;-0.973145;-0.059082
0.582520;-0.910156;0.007324
0.673340;-0.905762;-0.128418
0.687988;-0.856934;-0.125488
0.655273;-0.837891;-0.088867
0.581055;-0.855957;-0.065430
0.580566;-0.853516;-0.071289
0.562012;-0.858398;-0.045410
0.559570;-0.879395;-0.047363
0.591309;-0.883301;0.012695
0.576660;-0.883301;0.020996
0.589355;-0.847656;-0.009277
0.568848;-0.858887;-0.035156
0.555176;-0.861816;-0.052734
0.599609;-0.896484;-0.047852
0.588867;-0.892090;0.017090
0.550293;-0.911133;0.055176
0.567871;-0.870117;0.059082
0.580078;-0.830566;0.021973
0.540527;-0.853516;0.071777
0.528809;-0.889648;0.109375
0.476074;-0.899414;0.205078
0.523926;-0.886719;0.136719
0.483887;-0.899902;0.140625
0.467773;-0.887207;0.185059
0.434082;-0.877441;0.192871
0.454590;-0.891602;0.166016
0.457520;-0.906738;0.136230
0.494629;-0.914551;0.089355
0.481934;-0.897461;0.129395
0.430176;-0.945801;0.083984
0.415039;-0.953125;0.133789
0.432129;-0.952148;0.144531
0.479004;-0.883789;0.160156
0.413574;-0.950195;0.135742
0.370605;-0.963379;0.141113
0.407715;-0.952637;0.156738
0.366699;-0.994141;0.135254
0.269043;-1.046875;0.141602
0.291016;-1.027344;0.154297
0.299805;-0.992676;0.195801
0.280273;-1.003418;0.182617
0.224121;-1.009277;0.150879
0.219727;-0.997559;0.230957
0.215332;-0.940430;0.295898
0.219238;-0.934082;0.318359
0.174316;-0.879883;0.374512
0.177734;-0.841797;0.432617
0.033691;-0.843750;0.504395
-0.008789;-0.789551;0.626953
-0.101563;-0.734375;0.689453
