AccelerationX;AccelerationY;AccelerationZ
-0.942871;-0.014648;-0.145996
-0.954102;-0.016602;-0.125000
-0.949707;-0.020996;-0.143555
-0.938965;-0.012207;-0.140625
-0.951660;0.003418;-0.155273
-0.946777;-0.023437;-0.147949
-0.933105;-0.039063;-0.165527
-0.925781;-0.037109;-0.172363
-0.921875;-0.053223;-0.153320
-0.943848;-0.056152;-0.156738
-0.924316;-0.074219;-0.205078
-0.938965;-0.108887;-0.221680
-0.910156;-0.105469;-0.225586
-0.908691;-0.107422;-0.213379
-0.903809;0.026367;0.014648
-0.951660;0.036133;-0.123047
-0.991211;-0.042969;-0.169434
-0.983398;-0.083496;-0.142090
-0.912109;-0.071289;-0.188477
-0.861328;-0.116699;-0.290039
-0.742187;-0.092285;-0.247559
-0.829590;-0.095703;-0.359863
-0.668945;-0.038086;-0.270996
-0.675781;-0.077148;-0.303223
-0.752441;-0.040039;-0.095215
-0.754883;-0.033691;-0.270508
-0.831543;-0.016602;-0.146973
-0.910156;-0.129395;-0.339844
-0.796875;-0.063477;-0.232422
-0.823242;0.001465;-0.253418
-0.874023;0.001953;-0.343262
-0.860352;0.045410;-0.293457
-0.832031;0.040527;-0.313477
-0.954102;0.008301;-0.399414
-0.812012;0.109375;-0.390625
-1.081543;-0.025879;-0.410156
-0.885254;0.104980;-0.428711
-0.958984;-0.000977;-0.396973
-0.903809;0.025879;-0.344727
-0.957031;-0.030273;-0.352539
-0.891113;-0.040527;-0.374512
-0.952148;-0.089355;-0.355957
-1.048828;-0.062500;-0.336914
-0.986816;-0.059082;-0.283203
-1.108398;-0.154297;-0.102051
-1.108398;-0.067871;-0.125488
-1.026855;-0.033203;-0.240234
-1.076660;0.003906;-0.131348
-1.019531;0.007813;-0.080566
-0.963867;0.024414;-0.079590
-0.987305;0.137207;0.058594
-0.969238;0.221191;0.024414
-0.926758;0.275879;0.125488
-0.877930;0.289551;0.125977
-0.830566;0.357422;0.232422
-0.853027;0.228516;0.237305
-0.798828;0.276855;0.194824
-0.757324;0.331543;0.246582
-0.833496;0.363281;0.305176
-0.971191;0.459473;0.302246
-1.034668;0.433594;0.312988
-0.991699;0.399414;0.390625
-1.091797;0.338867;0.195312
-0.866699;0.321289;0.285156
-0.694824;0.325684;0.373535
-0.803223;0.220215;0.418945
-0.816406;0.179199;0.511719
-0.771973;0.162598;0.522461
-0.817871;0.169434;0.482910
-0.814453;0.112305;0.455566
-0.850098;0.078613;0.434082
-0.838379;0.078125;0.452148
-0.803711;0.061523;0.485352
-0.777344;0.119141;0.507812
-0.798340;0.089355;0.428711
-0.856934;0.073730;0.371582
-0.867676;0.041016;0.363770
-0.846680;0.039551;0.405273
-0.863281;0.071777;0.414551
-0.847656;0.089844;0.409180
-0.872070;0.085937;0.391602
-0.815918;0.119629;0.310059
-0.941406;0.059082;0.348145
-0.889648;0.071289;0.248047
-0.946777;0.051758;0.222656
-0.947754;0.013184;0.194824
-0.944336;0.005371;0.166016
-0.953613;0.011719;0.123047
-0.930664;-0.035156;0.104492
-0.968750;-0.041992;0.076172
-0.949707;-0.050293;0.073730
-0.947754;-0.052246;0.041992
-0.926270;-0.034668;0.011719
-0.951660;-0.031250;0.028320
-0.973145;-0.022461;0.016602
-0.958984;-0.026367;0.008301
-0.959473;-0.008301;0.011230
-0.964844;0.005371;0.035156
-0.966797;0.016602;0.049316
-0.952637;0.019043;0.055664
-0.947266;0.018066;0.048340
-0.951172;0.000488;0.036621
-0.949707;0.000000;0.024902
-0.951660;0.016113;0.019043
-0.944336;0.033203;0.023926
-0.958008;0.037598;0.030273
-0.959961;0.033691;0.034668
-0.952148;0.030762;0.044922
-0.952148;0.027832;0.049805
-0.942871;0.027832;0.045410
-0.951660;0.031738;0.032715
-0.945312;0.027344;0.035156
-0.948730;0.020508;0.033691
-0.945801;0.014160;0.026367
-0.952637;0.023926;0.027832
-0.948730;0.027344;0.028809
-0.953613;0.028809;0.030273
-0.952148;0.025879;0.034668
-0.951172;0.022461;0.030273
-0.957031;0.025391;0.032715
-0.948242;0.016602;0.032715
-0.955078;0.019043;0.022461
-0.950195;0.019043;0.031250
-0.954102;0.024902;0.023926
