AccelerationX;AccelerationY;AccelerationZ
-0.098145;-0.971680;0.029785
-0.125977;-1.043945;-0.032227
-0.090332;-1.056641;-0.083984
-0.118164;-0.910645;0.138672
-0.135254;-0.966309;0.221680
-0.104492;-1.035156;0.224609
-0.096680;-0.973145;0.187012
-0.096191;-0.972656;0.180176
-0.122559;-0.981445;0.151367
-0.122559;-0.998047;0.152832
-0.102051;-0.983398;0.164062
-0.117187;-0.976562;0.161133
-0.111816;-0.997070;0.159180
-0.119629;-1.000000;0.159180
-0.116699;-0.969238;0.155273
-0.138672;-0.985352;0.150391
-0.118164;-1.006348;0.166504
-0.118164;-0.978027;0.142090
-0.133301;-0.983887;0.155273
-0.112305;-0.987793;0.161133
-0.127930;-0.992187;0.144043
-0.124512;-0.983398;0.156250
-0.116211;-0.983398;0.158691
-0.115723;-0.983398;0.150879
-0.132324;-1.000488;0.150391
-0.117187;-0.974121;0.160645
-0.124023;-0.996094;0.155273
-0.120117;-0.969727;0.154297
-0.141113;-0.994141;0.154785
-0.133301;-0.982910;0.158691
-0.133301;-0.995117;0.151367
-0.115723;-0.995117;0.151855
-0.108398;-0.960449;0.154785
-0.136230;-0.993164;0.159180
-0.137207;-1.000977;0.163086
-0.120117;-0.974609;0.155273
-0.142578;-0.994141;0.164551
-0.132324;-0.989258;0.162598
-0.112793;-0.979980;0.163574
-0.114258;-0.975098;0.161621
-0.131836;-0.982910;0.164062
-0.136230;-0.994629;0.173340
-0.115234;-0.984863;0.169434
-0.121094;-0.978516;0.169434
-0.124023;-0.983887;0.167969
-0.123535;-0.987793;0.169922
-0.132812;-0.993652;0.168457
-0.115723;-0.978516;0.162109
-0.111816;-0.982422;0.164062
-0.122070;-0.985352;0.158691
-0.117676;-0.986816;0.165039
-0.120605;-0.982422;0.163086
-0.114746;-0.990234;0.155273
-0.118652;-0.991211;0.159668
-0.120605;-0.979980;0.162109
-0.129395;-0.980469;0.158203
-0.110840;-0.988770;0.162109
-0.123535;-0.996582;0.159668
-0.111328;-0.973633;0.159668
-0.119629;-0.992187;0.163574
-0.119629;-0.985352;0.157715
-0.113770;-0.989258;0.164062
-0.117676;-0.984375;0.156250
-0.115723;-0.984375;0.158691
-0.124023;-0.984863;0.162598
-0.112305;-0.989746;0.157715
-0.116699;-0.995117;0.162109
-0.119629;-0.973145;0.159180
-0.116699;-0.986328;0.164551
-0.126953;-1.000000;0.177246
-0.113770;-0.979980;0.159668
-0.109375;-0.989258;0.156738
-0.113281;-0.989258;0.162109
-0.111816;-0.985352;0.165039
-0.115234;-0.979492;0.160645
-0.119629;-0.992187;0.164551
-0.117676;-0.983887;0.168457
-0.113281;-0.982422;0.165527
-0.121582;-0.987305;0.166992
-0.113770;-0.986816;0.166992
-0.117676;-0.981445;0.166504
-0.124512;-0.985352;0.167480
-0.116211;-0.989258;0.169434
-0.115723;-0.981934;0.163574
-0.117187;-0.982910;0.165527
-0.117676;-0.985840;0.162109
-0.112793;-0.990234;0.164551
-0.119141;-0.984863;0.160645
-0.115234;-0.981445;0.162598
-0.117676;-0.986816;0.163086
-0.121582;-0.992676;0.163086
-0.116211;-0.983887;0.164062
-0.111328;-0.975098;0.162598
-0.125488;-0.992676;0.162598
-0.114258;-0.986816;0.161621
-0.119629;-0.987793;0.164062
-0.111328;-0.981934;0.166016
-0.115723;-0.988281;0.163086
-0.111328;-0.985352;0.164551
-0.115723;-0.982910;0.159180
-0.114258;-0.988281;0.163086
-0.114746;-0.987793;0.162598
-0.117187;-0.983887;0.162109
-0.121094;-0.982910;0.164062
-0.113770;-0.984375;0.162598
-0.118164;-0.992676;0.160645
-0.113281;-0.987305;0.163574
-0.113281;-0.986816;0.162109
-0.119629;-0.988770;0.156738
-0.114746;-0.980469;0.159180
-0.123535;-0.982910;0.163574
-0.121094;-0.986816;0.160156
-0.117676;-0.989746;0.162598
-0.113281;-0.983398;0.162598
-0.119629;-0.985352;0.162598
-0.126953;-0.988770;0.161133
-0.108398;-0.982422;0.160156
-0.121582;-0.989258;0.161621
-0.115234;-0.983398;0.162598
-0.114746;-0.992187;0.161133
-0.121582;-0.983398;0.158203
-0.117187;-0.978516;0.160645
-0.120117;-0.995605;0.159668
-0.113281;-0.979004;0.162109
-0.122559;-0.987793;0.161133
