AccelerationX;AccelerationY;AccelerationZ
0.952637;-0.515625;-0.049316
1.011719;-0.407715;0.091309
0.938477;-0.469238;0.029297
0.944336;-0.543457;-0.042969
0.916992;-0.489258;-0.136719
0.990723;-0.479980;0.054687
0.953125;-0.469238;0.032715
0.936035;-0.437012;-0.002930
0.925293;-0.448242;0.039063
0.908691;-0.474121;0.040527
0.893066;-0.505371;0.082031
0.913086;-0.453613;0.053711
0.934082;-0.435059;0.066895
0.980469;-0.400879;0.140625
0.926758;-0.400879;0.115723
1.009277;-0.477051;0.087402
1.047363;-0.411621;0.077148
1.041016;-0.325684;0.082031
1.061523;-0.324707;-0.040039
0.964844;-0.215332;-0.110840
1.034668;-0.110352;-0.083984
1.117188;-0.178711;-0.054199
1.017090;-0.208496;0.034180
0.958008;-0.210937;0.008301
1.007813;-0.178223;-0.067383
1.064453;-0.200195;-0.052734
1.022461;-0.240234;0.069824
1.013672;-0.292969;0.065430
1.130371;-0.339844;0.001465
1.233398;-0.317383;-0.191406
1.026367;-0.366211;-0.191406
0.823242;-0.322754;-0.003906
0.996582;-0.377930;0.040527
1.026855;-0.523926;-0.025879
0.903320;-0.508789;0.062012
0.933105;-0.423340;0.104004
0.873535;-0.354492;0.037598
0.843262;-0.412598;-0.045898
0.877441;-0.412109;0.058105
0.844727;-0.413086;0.121094
0.946289;-0.479492;-0.027832
0.951660;-0.473145;-0.036133
1.139648;-0.438477;-0.100586
1.263184;-0.292480;-0.059082
1.236816;-0.170898;0.020996
1.145020;-0.122559;0.227539
1.196777;-0.123535;0.171387
1.035156;-0.191895;0.053711
0.801758;-0.163574;0.125000
0.888672;-0.134766;0.167480
0.938477;-0.132324;0.108887
0.975098;-0.181641;0.074219
1.134766;-0.114746;0.152832
1.142578;-0.159180;0.118164
1.002930;-0.208984;0.071777
0.878906;-0.178223;0.067871
0.930176;-0.191406;0.037598
0.991699;-0.230957;0.015137
1.104004;-0.350586;-0.000977
0.909180;-0.070312;0.126953
0.564941;-0.061523;0.107910
0.079102;0.020020;0.250488
0.024414;-0.011719;0.263184
-0.014160;-0.081055;0.041504
0.041992;-0.027344;-0.057129
0.089355;0.046387;-0.113281
0.067871;0.052734;-0.012695
0.054199;0.052734;0.018555
0.081055;0.084473;-0.073242
-0.105469;-0.187500;-0.315430
-2.699707;-3.693847;-0.660645
-1.240234;1.374023;1.354004
-0.236328;0.176270;-0.528320
0.131348;0.075195;-0.397949
0.052246;0.034180;-0.169922
-0.112793;-0.024414;-0.181152
-0.185059;-0.016602;-0.072266
-0.149902;0.021484;0.008301
-1.704590;-2.272949;2.030762
0.262207;0.688965;2.120605
-0.065918;-0.065430;0.097656
-0.043457;-0.012207;0.146973
-0.712402;-0.403320;2.712891
-0.010254;0.062500;0.645020
-0.040527;-0.098633;0.810547
-0.136230;-0.022461;1.025879
-0.220703;-0.043457;1.161133
-0.100586;-0.041016;0.958984
-0.129883;-0.035645;1.033203
-0.158691;-0.043945;1.063477
-0.136719;-0.041504;1.045410
-0.122070;-0.040527;1.032227
-0.129395;-0.040527;1.042480
-0.121582;-0.039063;1.039551
-0.116699;-0.041504;1.036621
-0.102051;-0.034180;1.041504
-0.105469;-0.039063;1.036621
-0.106934;-0.035645;1.039551
-0.111816;-0.037109;1.047363
-0.110840;-0.035645;1.044434
-0.107910;-0.034668;1.042969
-0.105957;-0.032227;1.040039
-0.114746;-0.012207;1.048828
-0.102051;-0.039551;1.041016
-0.111328;-0.019531;1.041992
-0.122070;-0.023437;1.061523
-0.112305;-0.040527;1.026855
-0.111816;-0.059082;1.040039
-0.103516;-0.058105;1.033203
-0.114258;-0.050293;1.042480
-0.112793;-0.052246;1.040039
-0.108398;-0.052734;1.044434
-0.111328;-0.049805;1.044922
-0.115723;-0.049316;1.035645
-0.112793;-0.044922;1.040039
-0.112305;-0.042969;1.043945
-0.112793;-0.043945;1.042480
-0.114746;-0.045898;1.042969
-0.111816;-0.041016;1.035645
-0.116699;-0.043945;1.047363
-0.116699;-0.042480;1.042480
-0.116211;-0.042969;1.043945
-0.103516;-0.053223;1.016602
-0.115723;-0.032715;1.065430
