AccelerationX;AccelerationY;AccelerationZ
-0.894531;-0.084961;-0.009277
-0.937012;-0.079590;0.045410
-0.880859;-0.167969;-0.143066
-0.920898;-0.130859;-0.074219
-0.909668;-0.100586;0.141113
-0.953125;-0.166016;-0.053711
-0.957031;-0.147949;-0.005859
-0.937500;-0.137207;-0.041016
-0.936035;-0.153809;-0.073242
-0.965332;-0.083008;-0.021484
-0.954102;-0.116211;-0.076660
-0.936035;-0.095703;-0.023437
-0.930176;-0.106934;-0.012207
-0.911133;-0.121582;0.012207
-0.923828;-0.122070;-0.002930
-0.957520;-0.130859;0.039551
-1.033203;-0.106445;-0.112793
-0.985840;-0.057617;-0.120605
-0.923340;-0.013184;-0.070801
-1.004883;-0.059570;-0.047852
-1.099609;-0.019531;-0.075195
-1.010254;0.079590;-0.016113
-0.840332;0.053711;0.012695
-0.909668;0.021484;0.073730
-0.998047;0.065430;-0.048828
-0.902344;0.066895;-0.055664
-0.897949;0.037109;0.004883
-0.929687;0.020020;0.049805
-0.911621;0.003906;0.009277
-0.879395;0.046387;-0.018555
-0.903809;0.030762;0.083984
-0.898437;0.028320;0.092773
-0.914551;0.003906;0.044434
-0.959961;-0.028809;0.123535
-1.043457;-0.058105;0.086914
-1.082031;-0.023437;-0.034668
-1.119629;0.029297;-0.134277
-0.987793;0.082520;0.053223
-0.801758;0.169434;0.187988
-0.863770;0.136719;-0.074707
-0.997559;0.003418;-0.206543
-1.054688;-0.049316;-0.159668
-0.973145;-0.010254;-0.016602
-0.902344;0.044922;0.001465
-0.857422;0.038086;-0.015137
-0.895020;-0.006836;-0.089844
-0.952637;-0.017578;-0.107910
-1.015625;-0.007324;0.022461
-0.988770;0.022461;0.067383
-0.956055;0.001465;-0.073730
-0.969727;-0.070312;-0.255371
-0.852051;-0.076172;-0.111328
-0.948242;0.006836;-0.169922
-1.055176;0.067383;-0.077148
-1.055664;0.094727;0.025879
-0.932617;0.193848;-0.089844
-0.951660;0.052734;0.041992
-0.886719;-0.019043;-0.014160
-0.932617;-0.022461;0.046387
-0.950684;0.023437;0.026855
-0.942871;-0.012695;0.034668
-0.958008;-0.042480;0.065918
-0.934082;0.001465;0.011719
-0.927734;0.013672;0.019043
-0.926270;-0.037109;0.064453
-0.939453;-0.065430;0.037109
-0.939941;-0.097656;0.041504
-0.929199;-0.086426;0.041016
-0.926270;-0.034668;0.044922
-0.924316;-0.014160;0.104980
-0.960938;-0.047852;0.092285
-0.937500;-0.063477;0.137695
-1.070801;-0.108887;0.042969
-0.985352;-0.153320;-0.129883
-0.862793;-0.132812;-0.079102
-0.944824;-0.084961;-0.024902
-0.930176;-0.179199;-0.100098
-0.960938;-0.213379;-0.197754
-0.939453;-0.215332;-0.197266
-0.922363;-0.230957;-0.188965
-0.861328;-0.201172;-0.160156
-0.896484;-0.167969;-0.131836
-0.935059;-0.191895;-0.087891
-0.979004;-0.205078;-0.115723
-0.976562;-0.152832;-0.149414
-0.923340;-0.182129;-0.123047
-0.941894;-0.191406;-0.123535
-0.934570;-0.256348;-0.166504
-0.913086;-0.228027;-0.180176
-0.921875;-0.236328;-0.082031
-0.933594;-0.203613;-0.078125
-0.974121;-0.175293;-0.122559
-1.065918;-0.191406;-0.237793
-0.981934;-0.137207;-0.257813
-0.844238;-0.083984;-0.108887
-0.879883;-0.120117;0.005859
-0.996582;-0.111816;-0.073242
-0.923340;-0.065430;-0.122559
-0.897949;-0.064941;-0.083496
-0.878906;-0.050781;-0.018066
-0.906738;-0.069824;-0.039063
-0.955566;-0.113770;-0.042480
-0.960938;-0.131348;-0.018066
-0.986328;-0.091797;-0.066895
-0.954590;-0.044434;-0.099121
-0.972168;-0.027832;-0.050781
-1.077637;0.001953;-0.146973
-0.986328;-0.056641;-0.178711
-0.895508;-0.170898;-0.146973
-0.876465;-0.127441;-0.198242
-0.912109;-0.180176;-0.265625
-0.868164;-0.230957;-0.232910
-0.905273;-0.224121;-0.167969
-0.944824;-0.252441;-0.173340
-0.926758;-0.272461;-0.187988
-0.897461;-0.276367;-0.269043
-0.888672;-0.245605;-0.226074
-0.888672;-0.215332;-0.209473
-0.924316;-0.216309;-0.166992
-0.927734;-0.211426;-0.176270
-0.933594;-0.213379;-0.154785
-0.915527;-0.216797;-0.158691
-0.922363;-0.198730;-0.190918
-0.936035;-0.187988;-0.082520
-0.916016;-0.180664;-0.100586
